date_utc,visitors,pageviews
2026-08-23,6,14
2026-08-23,7,16
2026-08-24,6,14
2026-08-25,3,11
2026-08-26,4,6
2026-08-27,5,16
2026-08-28,2,3
2026-08-29,2,10
2026-08-30,4,30
2026-08-31,8,20
2026-09-01,11,22
2026-09-02,8,26
